AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms",860,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)",813,(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$128,264",100.0,"$1,663,761",100.0
Livestock and Products,"$58,023",45.2,"$1,235,198",74.2
Crops,"$70,241",54.8,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$25,613",(X),"$268,001",(X)

