"COMPONENTS
  OF POPULATION CHANGE1",Number,Percent,Number,Percent
"Total
  Population Change",14,100.0,"9,056",100.0
Natural Change,-36,-257.1,"3,000",33.1
Births,43,(X),"7,426",(X)
Deaths,79,(X),"4,426",(X)
Net Migration,50,357.1,"6,056",66.9

