MORTGAGE STATUS2,Number,Percent,Number,Percent
"Owner-occupied
  units","8,490",100.0,"155,659",100.0
Housing units with a mortgage,"4,761",56.1,"94,301",60.6
Housing units without a mortgage,"3,729",43.9,"61,358",39.4

