CRIME11,Number,Percent,Number,Percent
"Violent
  Crime",14,100.0,"1,086",100.0
Murder,1,7.1,14,1.3
Forcible Rape,1,7.1,147,13.5
Robbery,0,0.0,60,5.5
Aggravated Assault,12,85.7,865,79.7
"Property
  Crime",157,100.0,"12,791",100.0
Burglary,13,8.3,"2,061",16.1
Larceny-Theft,141,89.8,"10,182",79.6
Motor Vehicle Theft,3,1.9,548,4.3

