EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","28,582",100.0,"371,096",100.0
Less than 9th grade,852,3.0,"8,661",2.3
"9th to 12th grade, no diploma","1,546",5.4,"20,726",5.6
"High school graduate (includes
  equivalency)","10,281",36.0,"113,353",30.5
"Some college, no degree","8,057",28.2,"101,199",27.3
Associate's degree,"2,637",9.2,"37,126",10.0
Bachelor's degree,"3,856",13.5,"60,011",16.2
Graduate or professional degree,"1,353",4.7,"30,020",8.1

"Percent
  high school graduate or higher",(X),91.6,(X),92.1
"Percent
  bachelor's degree or higher",(X),18.2,(X),24.3

