"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","3,522",100.0,"261,430",100.0
Occupied housing units,"2,958",84.0,"221,479",84.7
Owner-occupied,"2,330",78.8,"155,659",70.3
Renter-occupied,628,21.2,"65,820",29.7
Vacant housing units,564,16.0,"39,951",15.3

Homeowner vacancy rate,(X),2.8,(X),1.7
Rental vacancy rate,(X),1.7,(X),7.9

