"RESIDENTIAL
  BUILDING PERMITS4",Number,Percent,Number,Percent
"Total
  housing units",603,100.0,"2,300",100.0
Single family units,357,59.2,"1,691",73.5
2 to 4 units,0,0.0,126,5.5
5 to more units,246,40.8,483,21.0

