RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  age 1 year and over","75,079",100.0,"555,587",100.0
Same house,"60,575",80.7,"454,552",81.8
Different house in the U.S.,"14,404",19.2,"99,164",17.8
Same county,"8,985",12.0,"54,717",9.8
Different county,"5,419",7.2,"44,447",8.0
Same state,"2,147",2.9,"14,481",2.6
Different state,"3,272",4.4,"29,966",5.4
Abroad,100,0.1,"1,871",0.3

