RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  age 1 year and over","17,744",100.0,"555,587",100.0
Same house,"15,476",87.2,"454,552",81.8
Different house in the U.S.,"2,239",12.6,"99,164",17.8
Same county,"1,107",6.2,"54,717",9.8
Different county,"1,132",6.4,"44,447",8.0
Same state,334,1.9,"14,481",2.6
Different state,798,4.5,"29,966",5.4
Abroad,29,0.2,"1,871",0.3

