"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","4,511",100.0,"261,430",100.0
Single family units,"3,315",73.5,"182,817",69.9
2 to 4 units,310,6.9,"19,426",7.4
5 to 9 units,101,2.2,"8,872",3.4
10 or more units,175,3.9,"13,702",5.2
Mobile home,610,13.5,"36,251",13.9
"RV, van, boat, etc.",0,0.0,362,0.1

