"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"10,015",100.0,"549,049",100.0
Under .50,138,1.4,"24,850",4.5
.50 to .99,341,3.4,"35,786",6.5
1.00 to 1.24,156,1.6,"19,623",3.6
1.25 to 1.49,289,2.9,"23,841",4.3
1.50 to 1.84,772,7.7,"37,058",6.7
1.85 to 1.99,71,0.7,"14,161",2.6
2.00 and over,"8,248",82.4,"393,730",71.7

