CRIME11,Number,Percent,Number,Percent
"Violent
  Crime",27,100.0,"1,086",100.0
Murder,1,3.7,14,1.3
Forcible Rape,4,14.8,147,13.5
Robbery,2,7.4,60,5.5
Aggravated Assault,20,74.1,865,79.7
"Property
  Crime",512,100.0,"12,791",100.0
Burglary,108,21.1,"2,061",16.1
Larceny-Theft,386,75.4,"10,182",79.6
Motor Vehicle Theft,18,3.5,548,4.3

