"GROSS
  RENT2",Number,Percent,Number,Percent
"Occupied
  units paying rent","3,853",100.0,"58,693",100.0
Less than $200,15,0.4,862,1.5
$200 to $299,129,3.3,"2,200",3.7
$300 to $499,146,3.8,"8,024",13.7
$500 to $749,716,18.6,"19,540",33.3
$750 to $999,"1,404",36.4,"14,169",24.1
"$1,000 to $1,499",910,23.6,"10,137",17.3
"$1,500 or more",533,13.8,"3,761",6.4
Median (dollars),$896,(X),$733,(X)

