AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms",178,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)",517,(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$17,284",100.0,"$1,663,761",100.0
Livestock and Products,"$14,445",83.6,"$1,235,198",74.2
Crops,"$2,839",16.4,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$1,921",(X),"$268,001",(X)

