AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms",154,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)",40,(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$11,700",100.0,"$1,663,761",100.0
Livestock and Products,"$8,093",69.2,"$1,235,198",74.2
Crops,"$3,607",30.8,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$5,147",(X),"$268,001",(X)

