MORTGAGE STATUS2,Number,Percent,Number,Percent
"Owner-occupied
  units","3,812",100.0,"155,659",100.0
Housing units with a mortgage,"1,927",50.6,"94,301",60.6
Housing units without a mortgage,"1,885",49.4,"61,358",39.4

