RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  age 1 year and over","28,680",100.0,"555,587",100.0
Same house,"24,251",84.6,"454,552",81.8
Different house in the U.S.,"4,413",15.4,"99,164",17.8
Same county,"2,197",7.7,"54,717",9.8
Different county,"2,216",7.7,"44,447",8.0
Same state,"1,133",4.0,"14,481",2.6
Different state,"1,083",3.8,"29,966",5.4
Abroad,16,0.1,"1,871",0.3

