"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","18,624",100.0,"261,430",100.0
Occupied housing units,"16,535",88.8,"221,479",84.7
Owner-occupied,"11,792",71.3,"155,659",70.3
Renter-occupied,"4,743",28.7,"65,820",29.7
Vacant housing units,"2,089",11.2,"39,951",15.3

Homeowner vacancy rate,(X),1.4,(X),1.7
Rental vacancy rate,(X),7.8,(X),7.9

