"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","2,593",100.0,"261,430",100.0
Occupied housing units,"2,172",83.8,"221,479",84.7
Owner-occupied,"1,429",65.8,"155,659",70.3
Renter-occupied,743,34.2,"65,820",29.7
Vacant housing units,421,16.2,"39,951",15.3

Homeowner vacancy rate,(X),0.0,(X),1.7
Rental vacancy rate,(X),3.9,(X),7.9

