RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  age 1 year and over","8,355",100.0,"555,587",100.0
Same house,"7,223",86.5,"454,552",81.8
Different house in the U.S.,"1,112",13.3,"99,164",17.8
Same county,634,7.6,"54,717",9.8
Different county,478,5.7,"44,447",8.0
Same state,293,3.5,"14,481",2.6
Different state,185,2.2,"29,966",5.4
Abroad,20,0.2,"1,871",0.3

