"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","18,004",100.0,"261,430",100.0
Single family units,"10,241",56.9,"182,817",69.9
2 to 4 units,"2,627",14.6,"19,426",7.4
5 to 9 units,"1,552",8.6,"8,872",3.4
10 or more units,"1,871",10.4,"13,702",5.2
Mobile home,"1,673",9.3,"36,251",13.9
"RV, van, boat, etc.",40,0.2,362,0.1

