"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","4,305",100.0,"306,315",100.0
Employment,"4,091",95.0,"292,096",95.4
Unemployment,214,5.0,"14,219",4.6
"Unemployment
  Rate",5.0%,(X),4.6%,(X)

