"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","10,995",100.0,"306,315",100.0
Employment,"10,481",95.3,"292,096",95.4
Unemployment,514,4.7,"14,219",4.6
"Unemployment
  Rate",4.7%,(X),4.6%,(X)

