"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"3,320",100.0,"278,595",100.0
Private,"2,326",70.1,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",63,1.9,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",224,6.7,"27,688",9.9
Utilities,11,0.3,"2,469",0.9
Construction,299,9.0,"21,500",7.7
Manufacturing,52,1.6,"9,357",3.4
Wholesale Trade,72,2.2,"9,166",3.3
Retail Trade,332,10.0,"29,444",10.6
Transportation & Warehousing,81,2.4,"9,554",3.4
Information,35,1.1,"3,902",1.4
Financial Activities,151,4.5,"10,754",3.9
Professional & Business Services,167,5.0,"18,010",6.5
Educational & Health Services,191,5.8,"25,324",9.1
Leisure & Hospitality,526,15.8,"33,923",12.2
Other Services,124,3.7,"8,564",3.1
Government,994,29.9,"66,403",23.8
Federal Government,128,3.9,"7,522",2.7
State Government,109,3.3,"13,343",4.8
Local Government,757,22.8,"45,538",16.3

