CRIME11,Number,Percent,Number,Percent
"Violent
  Crime",44,100.0,"1,086",100.0
Murder,1,2.3,14,1.3
Forcible Rape,15,34.1,147,13.5
Robbery,2,4.5,60,5.5
Aggravated Assault,26,59.1,865,79.7
"Property
  Crime",929,100.0,"12,791",100.0
Burglary,133,14.3,"2,061",16.1
Larceny-Theft,767,82.6,"10,182",79.6
Motor Vehicle Theft,29,3.1,548,4.3

