"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$48,933",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$7,693",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$15,620",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$21,369",(X),"$35,391",(X)

