"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","45,228",100.0,"306,315",100.0
Employment,"43,323",95.8,"292,096",95.4
Unemployment,"1,905",4.2,"14,219",4.6
"Unemployment
  Rate",4.2%,(X),4.6%,(X)

