AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms",448,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)","1,964",(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$47,271",100.0,"$1,663,761",100.0
Livestock and Products,"$40,176",85.0,"$1,235,198",74.2
Crops,"$7,095",15.0,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$1,780",(X),"$268,001",(X)

