"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","6,745",100.0,"306,315",100.0
Employment,"6,505",96.4,"292,096",95.4
Unemployment,240,3.6,"14,219",4.6
"Unemployment
  Rate",3.6%,(X),4.6%,(X)

