"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",246,5.6,"10,532",7.2
With related children under 18 years,204,9.8,"8,494",12.4
Married couple families,156,4.0,"4,139",3.5
With related children under 18 years,114,6.8,"2,719",5.7
"Families with female householder, no husband
  present",90,24.5,"5,472",28.4
With related children under 18 years,90,36.0,"4,982",36.2

"All
  people","1,637",7.7,"60,636",11.0
Under 18 years,632,14.8,"19,470",14.7
18 to 64 years,989,6.6,"36,902",10.6
65 years and over,16,0.8,"4,264",6.3

