"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","6,366",100.0,"261,430",100.0
Single family units,"4,316",67.8,"182,817",69.9
2 to 4 units,457,7.2,"19,426",7.4
5 to 9 units,224,3.5,"8,872",3.4
10 or more units,239,3.8,"13,702",5.2
Mobile home,"1,130",17.8,"36,251",13.9
"RV, van, boat, etc.",0,0.0,362,0.1

