AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms",398,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)",778,(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$46,946",100.0,"$1,663,761",100.0
Livestock and Products,"$40,959",87.2,"$1,235,198",74.2
Crops,"$5,987",12.8,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$6,544",(X),"$268,001",(X)

