"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","5,364",100.0,"261,430",100.0
Single family units,"4,276",79.7,"182,817",69.9
2 to 4 units,218,4.1,"19,426",7.4
5 to 9 units,105,2.0,"8,872",3.4
10 or more units,69,1.3,"13,702",5.2
Mobile home,696,13.0,"36,251",13.9
"RV, van, boat, etc.",0,0.0,362,0.1

