CRIME11,Number,Percent,Number,Percent
"Violent
  Crime",7,100.0,"1,086",100.0
Murder,0,0.0,14,1.3
Forcible Rape,0,0.0,147,13.5
Robbery,0,0.0,60,5.5
Aggravated Assault,7,100.0,865,79.7
"Property
  Crime",83,100.0,"12,791",100.0
Burglary,14,16.9,"2,061",16.1
Larceny-Theft,68,81.9,"10,182",79.6
Motor Vehicle Theft,1,1.2,548,4.3

