MORTGAGE STATUS2,Number,Percent,Number,Percent
"Owner-occupied
  units","4,461",100.0,"155,659",100.0
Housing units with a mortgage,"3,024",67.8,"94,301",60.6
Housing units without a mortgage,"1,437",32.2,"61,358",39.4

