"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",520,9.9,"10,532",7.2
With related children under 18 years,423,14.9,"8,494",12.4
Married couple families,226,5.3,"4,139",3.5
With related children under 18 years,145,7.1,"2,719",5.7
"Families with female householder, no husband
  present",294,37.5,"5,472",28.4
With related children under 18 years,278,45.6,"4,982",36.2

"All
  people","2,568",12.4,"60,636",11.0
Under 18 years,884,14.2,"19,470",14.7
18 to 64 years,"1,576",12.4,"36,902",10.6
65 years and over,108,6.1,"4,264",6.3

