"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"15,332",100.0,"278,595",100.0
Private,"9,419",61.4,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",72,0.5,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",31,0.2,"27,688",9.9
Utilities,32,0.2,"2,469",0.9
Construction,635,4.1,"21,500",7.7
Manufacturing,327,2.1,"9,357",3.4
Wholesale Trade,149,1.0,"9,166",3.3
Retail Trade,"1,723",11.2,"29,444",10.6
Transportation & Warehousing,161,1.0,"9,554",3.4
Information,142,0.9,"3,902",1.4
Financial Activities,625,4.1,"10,754",3.9
Professional & Business Services,"1,075",7.0,"18,010",6.5
Educational & Health Services,"1,996",13.0,"25,324",9.1
Leisure & Hospitality,"2,025",13.2,"33,923",12.2
Other Services,425,2.8,"8,564",3.1
Government,"5,913",38.6,"66,403",23.8
Federal Government,172,1.1,"7,522",2.7
State Government,"3,833",25.0,"13,343",4.8
Local Government,"1,909",12.5,"45,538",16.3

