AGRICULTURE7,Number,Percent,Number,Percent
"Number of
  Farms",482,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)","1,587",(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$56,922",100.0,"$1,663,761",100.0
Livestock and Products,"$49,654",87.2,"$1,235,198",74.2
Crops,"$7,268",12.8,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$6,113",(X),"$268,001",(X)

