"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"2,346",100.0,"278,595",100.0
Private,"1,624",69.2,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",47,2.0,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",313,13.3,"27,688",9.9
Utilities,68,2.9,"2,469",0.9
Construction,181,7.7,"21,500",7.7
Manufacturing,154,6.6,"9,357",3.4
Wholesale Trade,56,2.4,"9,166",3.3
Retail Trade,191,8.1,"29,444",10.6
Transportation & Warehousing,62,2.6,"9,554",3.4
Information,13,0.6,"3,902",1.4
Financial Activities,65,2.8,"10,754",3.9
Professional & Business Services,46,2.0,"18,010",6.5
Educational & Health Services,130,5.5,"25,324",9.1
Leisure & Hospitality,266,11.3,"33,923",12.2
Other Services,34,1.5,"8,564",3.1
Government,722,30.8,"66,403",23.8
Federal Government,90,3.8,"7,522",2.7
State Government,73,3.1,"13,343",4.8
Local Government,560,23.9,"45,538",16.3

