"COMPONENTS
  OF POPULATION CHANGE1",Number,Percent,Number,Percent
"Total
  Population Change",-33,100.0,"9,056",100.0
Natural Change,-4,12.1,"3,000",33.1
Births,16,(X),"7,426",(X)
Deaths,20,(X),"4,426",(X)
Net Migration,-29,87.9,"6,056",66.9

