"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","25,298",100.0,"306,315",100.0
Employment,"24,271",95.9,"292,096",95.4
Unemployment,"1,027",4.1,"14,219",4.6
"Unemployment
  Rate",4.1%,(X),4.6%,(X)

