"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","15,334",100.0,"306,315",100.0
Employment,"14,548",94.9,"292,096",95.4
Unemployment,786,5.1,"14,219",4.6
"Unemployment
  Rate",5.1%,(X),4.6%,(X)

