"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"20,721",100.0,"549,049",100.0
Under .50,940,4.5,"24,850",4.5
.50 to .99,"1,628",7.9,"35,786",6.5
1.00 to 1.24,580,2.8,"19,623",3.6
1.25 to 1.49,930,4.5,"23,841",4.3
1.50 to 1.84,"1,183",5.7,"37,058",6.7
1.85 to 1.99,558,2.7,"14,161",2.6
2.00 and over,"14,902",71.9,"393,730",71.7

