RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  age 1 year and over","20,619",100.0,"555,587",100.0
Same house,"16,956",82.2,"454,552",81.8
Different house in the U.S.,"3,654",17.7,"99,164",17.8
Same county,"2,117",10.3,"54,717",9.8
Different county,"1,537",7.5,"44,447",8.0
Same state,368,1.8,"14,481",2.6
Different state,"1,169",5.7,"29,966",5.4
Abroad,9,0.0,"1,871",0.3

