AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms",702,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)","1,305",(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$65,057",100.0,"$1,663,761",100.0
Livestock and Products,"$53,727",82.6,"$1,235,198",74.2
Crops,"$11,330",17.4,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","-$2,777",(X),"$268,001",(X)

