CRIME11,Number,Percent,Number,Percent
"Violent
  Crime",40,100.0,"1,086",100.0
Murder,0,0.0,14,1.3
Forcible Rape,4,10.0,147,13.5
Robbery,1,2.5,60,5.5
Aggravated Assault,35,87.5,865,79.7
"Property
  Crime",237,100.0,"12,791",100.0
Burglary,28,11.8,"2,061",16.1
Larceny-Theft,203,85.7,"10,182",79.6
Motor Vehicle Theft,6,2.5,548,4.3

