"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"27,464",100.0,"549,049",100.0
Under .50,808,2.9,"24,850",4.5
.50 to .99,"1,746",6.4,"35,786",6.5
1.00 to 1.24,"1,184",4.3,"19,623",3.6
1.25 to 1.49,"1,423",5.2,"23,841",4.3
1.50 to 1.84,"2,143",7.8,"37,058",6.7
1.85 to 1.99,763,2.8,"14,161",2.6
2.00 and over,"19,397",70.6,"393,730",71.7

