"GROSS
  RENT2",Number,Percent,Number,Percent
"Occupied
  units paying rent",915,100.0,"58,693",100.0
Less than $200,19,2.1,862,1.5
$200 to $299,30,3.3,"2,200",3.7
$300 to $499,108,11.8,"8,024",13.7
$500 to $749,324,35.4,"19,540",33.3
$750 to $999,236,25.8,"14,169",24.1
"$1,000 to $1,499",187,20.4,"10,137",17.3
"$1,500 or more",11,1.2,"3,761",6.4
Median (dollars),$738,(X),$733,(X)

