"GROSS
  RENT2",Number,Percent,Number,Percent
"Occupied
  units paying rent","8,591",100.0,"58,693",100.0
Less than $200,113,1.3,862,1.5
$200 to $299,311,3.6,"2,200",3.7
$300 to $499,822,9.6,"8,024",13.7
$500 to $749,"2,710",31.5,"19,540",33.3
$750 to $999,"2,254",26.2,"14,169",24.1
"$1,000 to $1,499","1,543",18.0,"10,137",17.3
"$1,500 or more",838,9.8,"3,761",6.4
Median (dollars),$782,(X),$733,(X)

