MORTGAGE STATUS2,Number,Percent,Number,Percent
"Owner-occupied
  units","5,402",100.0,"155,659",100.0
Housing units with a mortgage,"3,420",63.3,"94,301",60.6
Housing units without a mortgage,"1,982",36.7,"61,358",39.4

