"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","5,685",100.0,"261,430",100.0
Occupied housing units,"3,522",62.0,"221,479",84.7
Owner-occupied,"2,675",76.0,"155,659",70.3
Renter-occupied,847,24.0,"65,820",29.7
Vacant housing units,"2,163",38.0,"39,951",15.3

Homeowner vacancy rate,(X),2.1,(X),1.7
Rental vacancy rate,(X),12.1,(X),7.9

