"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","4,425",100.0,"155,659",100.0
"Less than $50,000",506,11.4,"16,506",10.6
"$50,000 to $99,999",855,19.3,"14,553",9.3
"$100,000 to $149,999",977,22.1,"23,529",15.1
"$150,000 to $199,999","1,014",22.9,"32,655",21.0
"$200,000 to $299,999",697,15.8,"38,465",24.7
"$300,000 to $499,999",268,6.1,"20,225",13.0
"$500,000 to $999,999",84,1.9,"6,826",4.4
"$1,000,000 or more",24,0.5,"2,900",1.9
Median (dollars),"$141,900",(X),"$184,400",(X)

