AGRICULTURE7,Number,Percent,Number,Percent
"Number of
  Farms","1,363",(X),"11,736",(X)
"Land in
  Farms (thousands of acres)","1,710",(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$127,834",100.0,"$1,663,761",100.0
Livestock and Products,"$79,032",61.8,"$1,235,198",74.2
Crops,"$48,802",38.2,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$21,230",(X),"$268,001",(X)

