"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","25,255",100.0,"155,659",100.0
"Less than $50,000","2,490",9.9,"16,506",10.6
"$50,000 to $99,999","1,460",5.8,"14,553",9.3
"$100,000 to $149,999","5,041",20.0,"23,529",15.1
"$150,000 to $199,999","6,142",24.3,"32,655",21.0
"$200,000 to $299,999","6,071",24.0,"38,465",24.7
"$300,000 to $499,999","3,452",13.7,"20,225",13.0
"$500,000 to $999,999",484,1.9,"6,826",4.4
"$1,000,000 or more",115,0.5,"2,900",1.9
Median (dollars),"$177,600",(X),"$184,400",(X)

