"COMPONENTS
  OF POPULATION CHANGE1",Number,Percent,Number,Percent
"Total
  Population Change","1,189",100.0,"9,056",100.0
Natural Change,424,35.7,"3,000",33.1
Births,669,(X),"7,426",(X)
Deaths,245,(X),"4,426",(X)
Net Migration,765,64.3,"6,056",66.9

