MORTGAGE STATUS2,Number,Percent,Number,Percent
"Owner-occupied
  units","11,792",100.0,"155,659",100.0
Housing units with a mortgage,"6,962",59.0,"94,301",60.6
Housing units without a mortgage,"4,830",41.0,"61,358",39.4

