AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms",319,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)","2,374",(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$76,958",100.0,"$1,663,761",100.0
Livestock and Products,"$73,337",95.3,"$1,235,198",74.2
Crops,"$3,621",4.7,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$8,438",(X),"$268,001",(X)

