"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","8,925",100.0,"261,430",100.0
Occupied housing units,"6,346",71.1,"221,479",84.7
Owner-occupied,"5,282",83.2,"155,659",70.3
Renter-occupied,"1,064",16.8,"65,820",29.7
Vacant housing units,"2,579",28.9,"39,951",15.3

Homeowner vacancy rate,(X),5.7,(X),1.7
Rental vacancy rate,(X),14.6,(X),7.9

