"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families","1,789",7.4,"10,532",7.2
With related children under 18 years,"1,377",12.4,"8,494",12.4
Married couple families,465,2.5,"4,139",3.5
With related children under 18 years,254,3.6,"2,719",5.7
"Families with female householder, no husband
  present","1,171",29.8,"5,472",28.4
With related children under 18 years,"1,012",36.9,"4,982",36.2

"All
  people","9,299",10.4,"60,636",11.0
Under 18 years,"3,279",15.2,"19,470",14.7
18 to 64 years,"5,425",9.5,"36,902",10.6
65 years and over,595,5.3,"4,264",6.3

