"COMPONENTS
  OF POPULATION CHANGE1",Number,Percent,Number,Percent
"Total
  Population Change",428,100.0,"9,056",100.0
Natural Change,241,56.3,"3,000",33.1
Births,419,(X),"7,426",(X)
Deaths,178,(X),"4,426",(X)
Net Migration,187,43.7,"6,056",66.9

