"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"4,652",100.0,"549,049",100.0
Under .50,196,4.2,"24,850",4.5
.50 to .99,372,8.0,"35,786",6.5
1.00 to 1.24,138,3.0,"19,623",3.6
1.25 to 1.49,373,8.0,"23,841",4.3
1.50 to 1.84,385,8.3,"37,058",6.7
1.85 to 1.99,211,4.5,"14,161",2.6
2.00 and over,"2,977",64.0,"393,730",71.7

