AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$58,470",100.0,"$44,580",100.0
Private,"$60,637",103.7,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$37,980",65.0,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$93,783",160.4,"$82,787",185.7
Utilities,"$84,196",144.0,"$81,625",183.1
Construction,"$53,390",91.3,"$49,321",110.6
Manufacturing,"$50,611",86.6,"$55,879",125.3
Wholesale Trade,"$69,603",119.0,"$57,547",129.1
Retail Trade,"$25,384",43.4,"$27,069",60.7
Transportation & Warehousing,"$59,657",102.0,"$47,370",106.3
Information,"$51,036",87.3,"$41,599",93.3
Financial Activities,"$43,969",75.2,"$49,113",110.2
Professional & Business Services,"$49,836",85.2,"$48,614",109.0
Educational & Health Services,"$29,929",51.2,"$40,194",90.2
Leisure & Hospitality,"$21,964",37.6,"$17,365",39.0
Other Services,"$30,619",52.4,"$34,795",78.1
Government,"$49,374",84.4,"$45,442",101.9
Federal Government,"$55,197",94.4,"$59,122",132.6
State Government,"$56,662",96.9,"$51,973",116.6
Local Government,"$47,802",81.8,"$41,270",92.6

