"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","13,967",100.0,"261,430",100.0
Occupied housing units,"12,446",89.1,"221,479",84.7
Owner-occupied,"8,713",70.0,"155,659",70.3
Renter-occupied,"3,733",30.0,"65,820",29.7
Vacant housing units,"1,521",10.9,"39,951",15.3

Homeowner vacancy rate,(X),2.5,(X),1.7
Rental vacancy rate,(X),6.6,(X),7.9

