"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$46,656",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$9,941",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$13,095",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$20,573",(X),"$35,391",(X)

